DateOfMeasuring;Index Value;Bitcoin Value ($);VWCE Value (EUR);BTCE Value (EUR);SSLN Value (EUR)
19/02/2025 12:46;49;96,250.16;139.78;;
19/02/2025 12:47;49;96,269.20;139.78;;
19/02/2025 12:51;49;96,258.26;139.78;;
19/02/2025 12:56;49;96,372.64;139.82;;
20/02/2025 07:33;48;96,954.95;140.02;;
20/02/2025 08:08;48;96,839.05;139.87;;
20/02/2025 08:09;48;96,850.83;139.85;;
20/02/2025 08:29;48;96,961.10;139.88;;
20/02/2025 08:37;48;97,020.71;139.84;;
20/02/2025 08:38;48;97,086.98;139.84;;
20/02/2025 08:40;48;97,045.07;139.86;;
20/02/2025 12:39;48;97,221.39;139.83;;
21/02/2025 09:31;45;98,246.32;139.27;;
21/02/2025 09:42;45;98,241.48;139.16;85.19;29.82
21/02/2025 10:05;45;98,294.58;139.24;85.28;29.94
24/02/2025 08:06;35;95,898.05;137.57;82.98;29.66
24/02/2025 08:15;35;95,803.09;137.55;82.85;29.65
25/02/2025 11:54;28;88,089.85;136.65;76.38;29.33
25/02/2025 12:01;28;88,252.76;136.58;76.32;29.30
25/02/2025 13:37;28;89,080.07;136.73;76.98;28.97
25/02/2025 13:51;28;89,015.33;136.73;77.01;28.95
26/02/2025 06:08;23;88,601.88;136.12;76.67;28.81
26/02/2025 06:09;23;88,601.88;136.12;76.67;28.81
26/02/2025 06:17;23;88,688.35;136.12;76.67;28.81
26/02/2025 08:42;23;88,543.86;136.77;76.63;28.82
26/02/2025 12:11;22;89,107.98;136.96;77.13;28.91
26/02/2025 14:04;22;87,749.95;137.06;75.97;28.93
27/02/2025 06:36;22;85,320.05;136.74;72.90;29.00
27/02/2025 13:01;21;86,571.91;137.36;75.12;28.91
28/02/2025 06:40;18;79,824.24;135.68;73.68;28.68
28/02/2025 08:25;18;79,555.84;135.20;69.60;28.53
28/02/2025 08:36;18;79,427.37;135.06;69.22;28.58
28/02/2025 09:01;18;79,110.02;135.38;69.23;28.57
28/02/2025 09:48;18;78,260.94;135.51;68.44;28.45
28/02/2025 10:27;19;79,952.54;135.64;69.93;28.59
28/02/2025 11:35;19;79,874.20;135.72;69.72;28.55
28/02/2025 13:35;19;80,280.52;135.43;70.06;28.48
03/03/2025 07:44;20;92,455.26;137.18;80.34;28.61
03/03/2025 09:55;20;91,480.53;137.08;79.76;28.75
04/03/2025 06:30;24;84,176.21;134.59;73.90;28.82
04/03/2025 08:28;24;83,456.99;134.32;72.46;28.89
04/03/2025 15:13;19;83,051.37;133.20;71.59;28.88
05/03/2025 06:20;20;86,981.12;132.17;74.84;28.72
05/03/2025 12:18;19;89,959.31;132.22;76.51;28.77
06/03/2025 08:48;22;91,540.52;131.22;76.82;28.71
06/03/2025 13:16;19;91,035.59;130.43;76.47;28.62
10/03/2025 12:54;19;82,828.35;128.21;69.64;28.56
12/03/2025 07:17;16;81,559.64;125.47;69.22;28.84
14/03/2025 06:34;15;81,957.96;125.48;67.59;29.79
14/03/2025 11:43;15;83,046.36;125.90;69.29;29.66
28/03/2025 07:56;;85,865.98;128.88;72.17;30.48
28/03/2025 08:00;28;85,777.97;128.82;72.09;30.49
03/04/2025 10:09;22;83,641.99;123.40;69.13;28.86
07/04/2025 07:13;4;76,980.83;114.05;69.66;25.74
07/04/2025 08:19;4;76,178.72;108.96;62.72;25.83
08/04/2025 12:28;3;78,931.85;114.72;65.52;26.40
10/04/2025 12:56;16;81,641.09;118.13;66.85;26.59
11/04/2025 08:58;8;81,046.03;115.47;65.15;26.40
11/04/2025 11:53;8;82,123.55;113.86;65.42;26.34
14/04/2025 07:50;13;84,370.17;117.13;67.23;26.82
15/04/2025 07:34;19;85,556.04;117.12;67.80;27.21
23/04/2025 09:04;24;93,760.67;118.02;74.65;27.48
24/04/2025 06:26;27;92,760.80;118.64;75.04;28.32
24/04/2025 12:12;28;92,431.64;117.50;73.53;27.97
28/04/2025 08:12;35;94,425.20;120.26;75.24;27.59
30/04/2025 10:15;39;94,706.94;121.53;75.41;27.17
07/05/2025 09:12;57;96,659.91;123.37;77.01;27.75
2025-05-08 07:28:44;56;98,927.68;123.85;77.52;27.39
2025-05-08 12:42:32;57;99,793.83;124.98;79.99;27.41
2025-05-16 09:34:04;69;103,965.11;130.08;83.95;27.47
2025-05-19 06:11:35;71;103,352.56;130.76;84.12;27.59
2025-05-19 13:54:36;71;103,038.19;129.03;82.73;27.60
2025-05-20 07:08:50;70;106,146.09;130.64;84.87;27.46
2025-05-21 07:14:39;69;107,468.47;129.71;85.77;27.93
2025-05-22 06:31:15;66;111,318.41;127.82;86.47;28.10
2025-05-27 14:18:16;64;109,763.66;128.56;87.43;27.68
2025-05-28 08:42:30;65;108,796.52;129.32;86.97;28.02
2025-05-29 08:24:39;65;107,831.85;131.02;86.64;28.15
2025-05-30 10:29:03;64;105,225.63;128.99;83.92;27.88
2025-06-02 07:19:03;62;104,921.79;128.67;83.32;27.73
2025-06-06 09:53:15;58;103,209.78;129.39;81.65;30.09
2025-06-12 07:46:23;62;107,693.64;129.11;84.42;30.12
2025-06-13 07:15:16;61;104,368.66;129.24;82.68;29.93
